date	source	medium	sessions	bounces
2019-12-01	(direct)	(none)	8	8
2019-12-01	34.66.97.139	referral	1	1
2019-12-01	facebook.com	referral	1	1
2019-12-01	github.com	referral	1	1
2019-12-01	habr.com	referral	1	1
2019-12-01	oauth.yandex.ru	referral	2	2
2019-12-01	passport.yandex.ru	referral	2	2
2019-12-01	yandex	organic	1	1
2019-12-01	yandex.ru	referral	1	1
2019-12-02	(direct)	(none)	1	1
2019-12-02	130.193.52.44:8787	referral	1	0
2019-12-02	facebook.com	referral	1	1
2019-12-02	github.com	referral	4	4
2019-12-02	google	organic	9	4
2019-12-02	mediaguru.ru	referral	1	0
2019-12-02	oauth.yandex.ru	referral	10	6
2019-12-02	passport.yandex.ru	referral	2	1
2019-12-02	yandex.ru	referral	5	2
2019-12-03	(direct)	(none)	21	21
2019-12-03	facebook.com	referral	5	3
2019-12-03	github.com	referral	6	5
2019-12-03	google	organic	7	7
2019-12-03	it-agency.ru	referral	2	0
2019-12-03	netpeak.net	referral	1	0
2019-12-03	oauth.vk.com	referral	2	2
2019-12-03	oauth.yandex.ru	referral	13	11
2019-12-03	osipenkov.ru	referral	1	1
2019-12-03	owox.ru	referral	1	1
2019-12-03	passport.yandex.ru	referral	6	3
2019-12-03	ppc.world	referral	1	1
2019-12-03	r-for-marketing.netpeak.net	referral	1	0
2019-12-03	target.my.com	referral	1	1
2019-12-03	yandex	organic	1	1
2019-12-03	yandex.ru	referral	6	4
2019-12-04	(direct)	(none)	11	7
2019-12-04	35.189.64.97	referral	1	1
2019-12-04	alexeyseleznev.wordpress.com	referral	1	0
2019-12-04	facebook.com	referral	1	0
2019-12-04	github.com	referral	20	15
2019-12-04	google	organic	16	10
2019-12-04	oauth.vk.com	referral	3	3
2019-12-04	oauth.yandex.ru	referral	11	7
2019-12-04	passport.yandex.ru	referral	1	0
2019-12-04	rstudio.corp.hpdd.ru	referral	1	0
2019-12-04	slideshare.net	referral	1	0
2019-12-04	target.my.com	referral	2	2
2019-12-04	yandex	organic	1	1
2019-12-04	yandex.ru	referral	2	2
2019-12-05	(direct)	(none)	6	6
2019-12-05	facebook.com	referral	5	4
2019-12-05	github.com	referral	9	6
2019-12-05	google	organic	6	5
2019-12-05	m.vk.com	referral	1	1
2019-12-05	oauth.vk.com	referral	1	0
2019-12-05	oauth.yandex.ru	referral	13	8
2019-12-05	osipenkov.ru	referral	1	1
2019-12-05	passport.yandex.ru	referral	2	1
2019-12-05	ppc.world	referral	2	1
2019-12-05	slideshare.net	referral	2	1
2019-12-05	yandex	organic	3	3
2019-12-05	yandex.ru	referral	2	2
2019-12-06	(direct)	(none)	3	3
2019-12-06	away.vk.com	referral	2	1
2019-12-06	bitrix.t-agency.ru	referral	1	0
2019-12-06	github.com	referral	5	5
2019-12-06	google	organic	6	4
2019-12-06	habr.com	referral	1	1
2019-12-06	m.vk.com	referral	2	2
2019-12-06	oauth.yandex.ru	referral	13	6
2019-12-06	passport.yandex.ru	referral	3	2
2019-12-06	yandex	organic	1	1
2019-12-06	yandex.ru	referral	1	1
2019-12-07	35.184.115.56	referral	2	0
2019-12-07	35.238.161.65	referral	1	1
2019-12-07	google	organic	1	1
2019-12-07	oauth.yandex.ru	referral	2	2
2019-12-07	passport.yandex.ru	referral	1	0
2019-12-07	ppc.world	referral	1	1
2019-12-07	yandex.ru	referral	1	1
2019-12-08	(direct)	(none)	5	3
2019-12-08	away.vk.com	referral	1	1
2019-12-08	cran.r-project.org	referral	1	0
2019-12-08	github.com	referral	2	2
2019-12-08	google	organic	8	6
2019-12-08	oauth.vk.com	referral	1	1
2019-12-08	oauth.yandex.ru	referral	5	1
2019-12-08	osipenkov.ru	referral	2	1
2019-12-09	(direct)	(none)	5	4
2019-12-09	cran.r-project.org	referral	1	1
2019-12-09	facebook.com	referral	1	0
2019-12-09	github.com	referral	1	1
2019-12-09	google	organic	8	5
2019-12-09	next.portal.local	referral	1	1
2019-12-09	oauth.yandex.ru	referral	10	9
2019-12-09	passport.yandex.ru	referral	1	1
2019-12-09	ppc.world	referral	1	1
2019-12-09	slideshare.net	referral	2	1
2019-12-09	target.my.com	referral	2	2
2019-12-09	yandex	organic	1	1
2019-12-10	(direct)	(none)	11	8
2019-12-10	away.vk.com	referral	1	0
2019-12-10	facebook.com	referral	2	2
2019-12-10	github.com	referral	2	2
2019-12-10	google	organic	19	13
2019-12-10	oauth.yandex.ru	referral	16	11
2019-12-10	passport.yandex.ru	referral	3	3
2019-12-10	slideshare.net	referral	1	1
2019-12-10	yandex	organic	3	2
2019-12-11	(direct)	(none)	8	8
2019-12-11	35.189.64.97	referral	3	3
2019-12-11	91.201.54.207:8787	referral	1	1
2019-12-11	facebook.com	referral	6	5
2019-12-11	github.com	referral	6	6
2019-12-11	google	organic	13	11
2019-12-11	groups.google.com	referral	1	1
2019-12-11	habr.com	referral	1	0
2019-12-11	mediaguru.ru	referral	2	2
2019-12-11	netpeak.net	referral	1	1
2019-12-11	oauth.vk.com	referral	4	3
2019-12-11	oauth.yandex.ru	referral	6	4
2019-12-11	osipenkov.ru	referral	2	0
2019-12-11	passport.yandex.ru	referral	2	0
2019-12-11	ppc.world	referral	1	1
2019-12-11	target.my.com	referral	1	1
2019-12-11	yandex	organic	2	1
2019-12-11	yandex.ru	referral	2	1
2019-12-12	(direct)	(none)	9	8
2019-12-12	35.189.64.97	referral	2	0
2019-12-12	cran.r-project.org	referral	1	1
2019-12-12	facebook.com	referral	2	1
2019-12-12	github.com	referral	12	9
2019-12-12	google	organic	7	6
2019-12-12	habr.com	referral	1	0
2019-12-12	l.facebook.com	referral	1	0
2019-12-12	netpeak.net	referral	2	1
2019-12-12	oauth.yandex.ru	referral	12	5
2019-12-12	ppc.world	referral	1	1
2019-12-12	seostayer.ru	referral	1	1
2019-12-12	yandex	organic	3	2
2019-12-12	yandex.ru	referral	7	5
2019-12-13	(direct)	(none)	11	10
2019-12-13	35.193.5.133	referral	1	0
2019-12-13	away.vk.com	referral	1	1
2019-12-13	cran.r-project.org	referral	2	2
2019-12-13	facebook.com	referral	4	2
2019-12-13	github.com	referral	3	2
2019-12-13	google	organic	3	2
2019-12-13	mytarget.tobigquery.ru	referral	1	1
2019-12-13	oauth.yandex.ru	referral	8	6
2019-12-13	osipenkov.ru	referral	2	1
2019-12-13	rdocumentation.org	referral	1	1
2019-12-13	rstudio.corp.hpdd.ru	referral	2	1
2019-12-13	seostayer.ru	referral	1	1
2019-12-13	target.my.com	referral	1	0
2019-12-13	yandex	organic	3	3
2019-12-13	yandex.ru	referral	7	7
2019-12-14	(direct)	(none)	5	5
2019-12-14	bing	organic	2	2
2019-12-14	github.com	referral	3	2
2019-12-14	google	organic	8	7
2019-12-14	oauth.yandex.ru	referral	2	0
2019-12-14	rstudio.corp.hpdd.ru	referral	1	0
2019-12-14	target.my.com	referral	4	0
2019-12-14	yandex	organic	2	2
2019-12-15	(direct)	(none)	5	5
2019-12-15	away.vk.com	referral	2	0
2019-12-15	cran.r-project.org	referral	1	1
2019-12-15	github.com	referral	2	1
2019-12-15	google	organic	3	2
2019-12-15	m.habr.com	referral	1	1
2019-12-15	m.vk.com	referral	1	1
2019-12-15	oauth.yandex.ru	referral	3	2
2019-12-15	passport.yandex.ru	referral	1	1
2019-12-15	yandex	organic	1	1
2019-12-15	yandex.com.tr	referral	1	1
2019-12-15	yandex.ru	referral	1	1
2019-12-16	(direct)	(none)	4	4
2019-12-16	alexeyseleznev.wordpress.com	referral	2	0
2019-12-16	away.vk.com	referral	1	0
2019-12-16	facebook.com	referral	3	2
2019-12-16	github.com	referral	10	6
2019-12-16	google	organic	5	4
2019-12-16	netpeak.net	referral	2	2
2019-12-16	oauth.vk.com	referral	2	1
2019-12-16	oauth.yandex.ru	referral	8	5
2019-12-16	osipenkov.ru	referral	1	1
2019-12-16	rstudio.corp.hpdd.ru	referral	2	2
2019-12-16	yandex	organic	1	0
2019-12-17	(direct)	(none)	2	2
2019-12-17	away.vk.com	referral	2	2
2019-12-17	cran.r-project.org	referral	2	1
2019-12-17	facebook.com	referral	2	2
2019-12-17	github.com	referral	10	4
2019-12-17	google	organic	8	7
2019-12-17	oauth.vk.com	referral	2	0
2019-12-17	oauth.yandex.ru	referral	6	3
2019-12-17	ppc.world	referral	1	0
2019-12-17	target.my.com	referral	2	0
2019-12-17	yandex	organic	2	2
2019-12-18	(direct)	(none)	5	5
2019-12-18	35.189.69.98	referral	1	1
2019-12-18	35.228.10.22	referral	1	0
2019-12-18	35.238.161.65	referral	1	1
2019-12-18	facebook.com	referral	4	3
2019-12-18	github.com	referral	7	2
2019-12-18	google	organic	10	7
2019-12-18	netpeak.net	referral	1	1
2019-12-18	oauth.vk.com	referral	1	0
2019-12-18	oauth.yandex.ru	referral	11	6
2019-12-18	passport.yandex.ru	referral	1	1
2019-12-18	rdocumentation.org	referral	1	1
2019-12-18	yandex	organic	2	2
2019-12-18	yandex.ru	referral	5	4
2019-12-19	(direct)	(none)	2	2
2019-12-19	35.193.5.133	referral	1	1
2019-12-19	facebook.com	referral	3	1
2019-12-19	github.com	referral	2	0
2019-12-19	google	organic	4	4
2019-12-19	oauth.yandex.ru	referral	6	2
2019-12-19	osipenkov.ru	referral	2	1
2019-12-19	passport.yandex.ru	referral	1	1
2019-12-19	yandex.ru	referral	1	0
2019-12-20	(direct)	(none)	1	1
2019-12-20	91.201.54.207:8787	referral	1	1
2019-12-20	cran.r-project.org	referral	1	1
2019-12-20	facebook.com	referral	2	2
2019-12-20	github.com	referral	8	5
2019-12-20	google	organic	9	7
2019-12-20	habr.com	referral	1	0
2019-12-20	oauth.yandex.ru	referral	11	8
2019-12-20	osipenkov.ru	referral	1	0
2019-12-20	passport.yandex.ru	referral	4	4
2019-12-20	target.my.com	referral	4	1
2019-12-20	yandex.ru	referral	4	3
2019-12-21	(direct)	(none)	1	1
2019-12-21	github.com	referral	4	0
2019-12-21	google	organic	4	4
2019-12-21	oauth.yandex.ru	referral	3	2
2019-12-21	seostayer.ru	referral	1	1
2019-12-22	(direct)	(none)	4	4
2019-12-22	facebook.com	referral	2	1
2019-12-22	github.com	referral	2	2
2019-12-22	google	organic	5	4
2019-12-22	oauth.yandex.ru	referral	1	0
2019-12-22	passport.yandex.ru	referral	1	0
2019-12-23	(direct)	(none)	5	2
2019-12-23	away.vk.com	referral	1	1
2019-12-23	facebook.com	referral	2	1
2019-12-23	github.com	referral	3	2
2019-12-23	google	organic	14	11
2019-12-23	oauth.yandex.ru	referral	6	3
2019-12-23	osipenkov.ru	referral	1	1
2019-12-23	passport.yandex.ru	referral	2	1
2019-12-23	rdocumentation.org	referral	3	3
2019-12-23	target.my.com	referral	3	1
2019-12-23	yandex.ru	referral	2	2
2019-12-24	(direct)	(none)	3	1
2019-12-24	away.vk.com	referral	1	1
2019-12-24	facebook.com	referral	2	1
2019-12-24	github.com	referral	6	5
2019-12-24	google	organic	18	14
2019-12-24	netpeak.net	referral	1	1
2019-12-24	oauth.vk.com	referral	1	0
2019-12-24	oauth.yandex.ru	referral	4	2
2019-12-24	passport.yandex.ru	referral	1	1
2019-12-24	ppc.world	referral	1	1
2019-12-24	rdocumentation.org	referral	1	1
2019-12-24	target.my.com	referral	5	2
2019-12-24	yandex.ru	referral	1	1
2019-12-25	(direct)	(none)	3	2
2019-12-25	35.225.166.228	referral	3	3
2019-12-25	away.vk.com	referral	1	0
2019-12-25	facebook.com	referral	2	2
2019-12-25	github.com	referral	4	4
2019-12-25	google	organic	13	11
2019-12-25	oauth.yandex.ru	referral	12	5
2019-12-25	seostayer.ru	referral	1	1
2019-12-25	target.my.com	referral	7	1
2019-12-25	yandex.ru	referral	4	4
2019-12-26	(direct)	(none)	2	2
2019-12-26	213.141.130.12	referral	1	1
2019-12-26	35.211.131.244	referral	2	0
2019-12-26	alexeyseleznev.wordpress.com	referral	1	1
2019-12-26	away.vk.com	referral	1	1
2019-12-26	facebook.com	referral	1	1
2019-12-26	github.com	referral	5	4
2019-12-26	google	organic	7	5
2019-12-26	habr.com	referral	1	0
2019-12-26	netpeak.net	referral	1	1
2019-12-26	oauth.vk.com	referral	1	1
2019-12-26	oauth.yandex.ru	referral	6	1
2019-12-26	passport.yandex.ru	referral	3	1
2019-12-26	rdocumentation.org	referral	4	4
2019-12-26	target.my.com	referral	2	1
2019-12-26	yandex	organic	1	1
2019-12-26	yandex.ru	referral	1	1
2019-12-27	(direct)	(none)	2	2
2019-12-27	35.211.131.244	referral	1	1
2019-12-27	facebook.com	referral	1	1
2019-12-27	github.com	referral	6	4
2019-12-27	google	organic	8	2
2019-12-27	it-agency.ru	referral	1	0
2019-12-27	oauth.yandex.ru	referral	9	5
2019-12-27	passport.yandex.ru	referral	5	3
2019-12-27	target.my.com	referral	3	2
2019-12-27	yandex	organic	2	2
2019-12-27	yandex.ru	referral	3	1
2019-12-28	(direct)	(none)	2	1
2019-12-28	github.com	referral	4	3
2019-12-28	google	organic	4	2
2019-12-28	oauth.yandex.ru	referral	1	0
2019-12-28	rdrr.io	referral	1	1
2019-12-28	target.my.com	referral	1	1
2019-12-28	yandex	organic	1	1
2019-12-28	yandex.ru	referral	1	1
2019-12-29	(direct)	(none)	1	1
2019-12-29	google	organic	6	6
2019-12-29	target.my.com	referral	1	1
2019-12-29	yandex	organic	2	1
2019-12-29	yandex.ru	referral	1	1
2019-12-30	(direct)	(none)	2	2
2019-12-30	alexeyseleznev.wordpress.com	referral	1	1
2019-12-30	facebook.com	referral	1	1
2019-12-30	github.com	referral	5	5
2019-12-30	google	organic	3	3
2019-12-30	habr.com	referral	1	1
2019-12-30	oauth.yandex.ru	referral	7	4
2019-12-30	passport.yandex.ru	referral	2	1
2019-12-30	target.my.com	referral	1	1
2019-12-30	yandex.ru	referral	1	1
2019-12-31	(direct)	(none)	5	2
2019-12-31	alexeyseleznev.wordpress.com	referral	2	1
2019-12-31	away.vk.com	referral	1	1
2019-12-31	github.com	referral	1	1
2019-12-31	oauth.vk.com	referral	2	0
2019-12-31	passport.yandex.ru	referral	1	1
2019-12-31	yandex	organic	2	2
2019-12-31	yandex.ru	referral	1	1
